NYSE,AIG,2009-05-08,2.09,2.12,1.97,2.01,9489800,40.20
NYSE,AIG,2009-05-07,2.12,2.19,1.86,1.95,17483600,39.00
NYSE,AIG,2009-05-06,1.76,1.94,1.75,1.84,13651600,36.80
NYSE,AIG,2009-05-05,1.63,1.75,1.56,1.73,13009700,34.60
NYSE,AIG,2009-05-04,1.43,1.51,1.41,1.46,5272300,29.20
NYSE,AIG,2009-05-01,1.38,1.41,1.37,1.38,1568700,27.60
NYSE,AIG,2009-04-30,1.45,1.46,1.36,1.38,2994500,27.60
NYSE,AIG,2009-04-29,1.39,1.42,1.37,1.41,3070900,28.20
NYSE,AIG,2009-04-28,1.35,1.48,1.33,1.34,2707100,26.80
NYSE,AIG,2009-04-27,1.40,1.44,1.36,1.40,2879700,28.00
NYSE,AIG,2009-04-24,1.53,1.53,1.43,1.46,3964400,29.20
NYSE,AIG,2009-04-23,1.48,1.54,1.46,1.50,3674500,30.00
